sex,marstat,ehg3_01,mar_110,prv,famincg2,gender,marital,edu,employment,province,income
2,1,2,6,35,3,female,Married,High school diploma or high school equivalency certificate,Retired,Ontario,"Low family Income: below $60,000"
2,6,1,1,10,2,female,"Single, never married",Less than high school diploma or its equivalent,Working at a paid job or self-employed,Newfoundland and Labroador,"Low family Income: below $60,000"
1,1,2,1,13,2,male,Married,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,New Brunswick,"Low family Income: below $60,000"
1,1,2,1,35,6,male,Married,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
1,6,2,1,47,4,male,"Single, never married",High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Saskatchewan,"Middle family Income: $60,000 - $10,000"
1,6,2,1,47,6,male,"Single, never married",High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Saskatchewan,"High family Income: above $10,000"
1,1,6,6,13,4,male,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Retired,New Brunswick,"Middle family Income: $60,000 - $10,000"
2,3,7,6,59,3,female,Widowed,"University certificate, diploma or degree above the bach. . .",Retired,British Columbia,"Low family Income: below $60,000"
2,1,4,6,35,6,female,Married,"College, CEGEP or other non-university certificate or di. . .",Retired,Ontario,"High family Income: above $10,000"
1,1,7,1,48,4,male,Married,"University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,Alberta,"Middle family Income: $60,000 - $10,000"
2,3,1,1,24,2,female,Widowed,Less than high school diploma or its equivalent,Working at a paid job or self-employed,Quebec,"Low family Income: below $60,000"
1,1,6,6,35,6,male,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Retired,Ontario,"High family Income: above $10,000"
2,3,4,6,24,1,female,Widowed,"College, CEGEP or other non-university certificate or di. . .",Retired,Quebec,"Low family Income: below $60,000"
1,5,1,1,48,6,male,Divorced,Less than high school diploma or its equivalent,Working at a paid job or self-employed,Alberta,"High family Income: above $10,000"
1,1,6,1,48,6,male,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Alberta,"High family Income: above $10,000"
2,2,7,1,35,6,female,Living common-law,"University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
1,1,3,1,35,4,male,Married,Trade certificate or diploma,Working at a paid job or self-employed,Ontario,"Middle family Income: $60,000 - $10,000"
1,1,2,6,35,4,male,Married,High school diploma or high school equivalency certificate,Retired,Ontario,"Middle family Income: $60,000 - $10,000"
1,1,2,1,47,2,male,Married,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Saskatchewan,"Low family Income: below $60,000"
1,1,6,6,24,4,male,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Retired,Quebec,"Middle family Income: $60,000 - $10,000"
1,1,4,1,24,6,male,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Quebec,"High family Income: above $10,000"
2,4,6,6,35,2,female,Separated,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Retired,Ontario,"Low family Income: below $60,000"
1,1,6,1,10,6,male,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Newfoundland and Labroador,"High family Income: above $10,000"
2,6,2,1,46,3,female,"Single, never married",High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Manitoba,"Low family Income: below $60,000"
1,1,2,6,13,3,male,Married,High school diploma or high school equivalency certificate,Retired,New Brunswick,"Low family Income: below $60,000"
2,3,5,6,47,4,female,Widowed,University certificate or diploma below the bachelor’s level,Retired,Saskatchewan,"Middle family Income: $60,000 - $10,000"
2,2,2,6,12,2,female,Living common-law,High school diploma or high school equivalency certificate,Retired,Nova Scotia,"Low family Income: below $60,000"
1,6,2,1,46,3,male,"Single, never married",High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Manitoba,"Low family Income: below $60,000"
1,1,7,1,35,6,male,Married,"University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
1,1,6,1,11,4,male,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Prince Edward Island,"Middle family Income: $60,000 - $10,000"
2,4,1,5,12,1,female,Separated,Less than high school diploma or its equivalent,Household work,Nova Scotia,"Low family Income: below $60,000"
2,4,2,1,35,3,female,Separated,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Ontario,"Low family Income: below $60,000"
2,6,7,1,35,4,female,"Single, never married","University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,Ontario,"Middle family Income: $60,000 - $10,000"
2,6,2,1,35,2,female,"Single, never married",High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Ontario,"Low family Income: below $60,000"
1,1,7,1,13,6,male,Married,"University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,New Brunswick,"High family Income: above $10,000"
1,3,2,6,35,2,male,Widowed,High school diploma or high school equivalency certificate,Retired,Ontario,"Low family Income: below $60,000"
1,6,4,1,10,5,male,"Single, never married","College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Newfoundland and Labroador,"High family Income: above $10,000"
2,5,2,6,10,6,female,Divorced,High school diploma or high school equivalency certificate,Retired,Newfoundland and Labroador,"High family Income: above $10,000"
1,1,2,4,48,6,male,Married,High school diploma or high school equivalency certificate,Household work,Alberta,"High family Income: above $10,000"
2,1,1,1,46,3,female,Married,Less than high school diploma or its equivalent,Working at a paid job or self-employed,Manitoba,"Low family Income: below $60,000"
2,6,1,1,24,2,female,"Single, never married",Less than high school diploma or its equivalent,Working at a paid job or self-employed,Quebec,"Low family Income: below $60,000"
2,2,7,1,10,3,female,Living common-law,"University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,Newfoundland and Labroador,"Low family Income: below $60,000"
2,1,2,5,35,3,female,Married,High school diploma or high school equivalency certificate,Household work,Ontario,"Low family Income: below $60,000"
2,1,2,6,13,3,female,Married,High school diploma or high school equivalency certificate,Retired,New Brunswick,"Low family Income: below $60,000"
2,1,4,1,47,3,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Saskatchewan,"Low family Income: below $60,000"
2,1,6,6,12,3,female,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Retired,Nova Scotia,"Low family Income: below $60,000"
1,2,4,1,35,6,male,Living common-law,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
2,3,2,6,35,3,female,Widowed,High school diploma or high school equivalency certificate,Retired,Ontario,"Low family Income: below $60,000"
1,1,7,1,35,6,male,Married,"University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
1,6,2,1,48,1,male,"Single, never married",High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Alberta,"Low family Income: below $60,000"
1,2,5,1,24,5,male,Living common-law,University certificate or diploma below the bachelor’s level,Working at a paid job or self-employed,Quebec,"High family Income: above $10,000"
2,1,1,6,48,2,female,Married,Less than high school diploma or its equivalent,Retired,Alberta,"Low family Income: below $60,000"
2,1,6,1,48,6,female,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Alberta,"High family Income: above $10,000"
2,1,1,5,35,2,female,Married,Less than high school diploma or its equivalent,Household work,Ontario,"Low family Income: below $60,000"
2,1,2,4,35,5,female,Married,High school diploma or high school equivalency certificate,Household work,Ontario,"High family Income: above $10,000"
2,1,6,5,35,5,female,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Household work,Ontario,"High family Income: above $10,000"
1,6,7,6,47,2,male,"Single, never married","University certificate, diploma or degree above the bach. . .",Retired,Saskatchewan,"Low family Income: below $60,000"
1,6,7,1,48,6,male,"Single, never married","University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,Alberta,"High family Income: above $10,000"
2,1,7,1,59,6,female,Married,"University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,British Columbia,"High family Income: above $10,000"
2,1,6,1,35,3,female,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Ontario,"Low family Income: below $60,000"
2,1,4,6,12,4,female,Married,"College, CEGEP or other non-university certificate or di. . .",Retired,Nova Scotia,"Middle family Income: $60,000 - $10,000"
2,1,6,1,59,4,female,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,British Columbia,"Middle family Income: $60,000 - $10,000"
1,6,1,1,12,2,male,"Single, never married",Less than high school diploma or its equivalent,Working at a paid job or self-employed,Nova Scotia,"Low family Income: below $60,000"
1,1,4,6,59,2,male,Married,"College, CEGEP or other non-university certificate or di. . .",Retired,British Columbia,"Low family Income: below $60,000"
2,5,4,1,35,3,female,Divorced,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Ontario,"Low family Income: below $60,000"
1,2,4,1,12,3,male,Living common-law,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Nova Scotia,"Low family Income: below $60,000"
1,1,3,6,35,3,male,Married,Trade certificate or diploma,Retired,Ontario,"Low family Income: below $60,000"
2,1,2,1,13,3,female,Married,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,New Brunswick,"Low family Income: below $60,000"
1,1,3,1,47,6,male,Married,Trade certificate or diploma,Working at a paid job or self-employed,Saskatchewan,"High family Income: above $10,000"
2,1,6,1,11,4,female,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Prince Edward Island,"Middle family Income: $60,000 - $10,000"
1,1,1,6,35,4,male,Married,Less than high school diploma or its equivalent,Retired,Ontario,"Middle family Income: $60,000 - $10,000"
1,6,4,1,10,3,male,"Single, never married","College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Newfoundland and Labroador,"Low family Income: below $60,000"
1,6,3,1,59,2,male,"Single, never married",Trade certificate or diploma,Working at a paid job or self-employed,British Columbia,"Low family Income: below $60,000"
1,1,1,1,46,3,male,Married,Less than high school diploma or its equivalent,Working at a paid job or self-employed,Manitoba,"Low family Income: below $60,000"
1,3,4,6,48,3,male,Widowed,"College, CEGEP or other non-university certificate or di. . .",Retired,Alberta,"Low family Income: below $60,000"
2,1,4,1,12,6,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Nova Scotia,"High family Income: above $10,000"
2,5,4,1,35,3,female,Divorced,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Ontario,"Low family Income: below $60,000"
1,5,2,1,46,3,male,Divorced,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Manitoba,"Low family Income: below $60,000"
1,1,7,1,35,4,male,Married,"University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,Ontario,"Middle family Income: $60,000 - $10,000"
1,3,1,6,13,2,male,Widowed,Less than high school diploma or its equivalent,Retired,New Brunswick,"Low family Income: below $60,000"
1,1,2,1,10,4,male,Married,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Newfoundland and Labroador,"Middle family Income: $60,000 - $10,000"
2,1,6,6,24,5,female,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Retired,Quebec,"High family Income: above $10,000"
2,1,4,1,13,6,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,New Brunswick,"High family Income: above $10,000"
1,1,1,6,35,2,male,Married,Less than high school diploma or its equivalent,Retired,Ontario,"Low family Income: below $60,000"
2,6,6,6,24,6,female,"Single, never married","Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Retired,Quebec,"High family Income: above $10,000"
1,6,7,1,35,2,male,"Single, never married","University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,Ontario,"Low family Income: below $60,000"
1,1,6,1,35,6,male,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
2,1,4,1,13,6,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,New Brunswick,"High family Income: above $10,000"
1,1,7,3,24,5,male,Married,"University certificate, diploma or degree above the bach. . .",Going to school,Quebec,"High family Income: above $10,000"
2,6,2,3,35,6,female,"Single, never married",High school diploma or high school equivalency certificate,Going to school,Ontario,"High family Income: above $10,000"
2,6,2,3,35,2,female,"Single, never married",High school diploma or high school equivalency certificate,Going to school,Ontario,"Low family Income: below $60,000"
2,1,7,6,35,5,female,Married,"University certificate, diploma or degree above the bach. . .",Retired,Ontario,"High family Income: above $10,000"
2,1,3,1,10,4,female,Married,Trade certificate or diploma,Working at a paid job or self-employed,Newfoundland and Labroador,"Middle family Income: $60,000 - $10,000"
2,1,4,1,35,6,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
1,4,6,1,24,6,male,Separated,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Quebec,"High family Income: above $10,000"
2,3,4,6,35,3,female,Widowed,"College, CEGEP or other non-university certificate or di. . .",Retired,Ontario,"Low family Income: below $60,000"
1,1,2,6,10,2,male,Married,High school diploma or high school equivalency certificate,Retired,Newfoundland and Labroador,"Low family Income: below $60,000"
1,1,4,6,35,2,male,Married,"College, CEGEP or other non-university certificate or di. . .",Retired,Ontario,"Low family Income: below $60,000"
1,1,5,1,59,6,male,Married,University certificate or diploma below the bachelor’s level,Working at a paid job or self-employed,British Columbia,"High family Income: above $10,000"
1,2,5,1,59,6,male,Living common-law,University certificate or diploma below the bachelor’s level,Working at a paid job or self-employed,British Columbia,"High family Income: above $10,000"
2,2,1,4,47,1,female,Living common-law,Less than high school diploma or its equivalent,Household work,Saskatchewan,"Low family Income: below $60,000"
1,5,2,6,47,3,male,Divorced,High school diploma or high school equivalency certificate,Retired,Saskatchewan,"Low family Income: below $60,000"
1,1,3,1,24,2,male,Married,Trade certificate or diploma,Working at a paid job or self-employed,Quebec,"Low family Income: below $60,000"
1,1,2,1,48,5,male,Married,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Alberta,"High family Income: above $10,000"
2,6,2,1,46,2,female,"Single, never married",High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Manitoba,"Low family Income: below $60,000"
1,1,4,1,59,5,male,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,British Columbia,"High family Income: above $10,000"
2,5,4,1,10,1,female,Divorced,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Newfoundland and Labroador,"Low family Income: below $60,000"
2,3,1,6,35,2,female,Widowed,Less than high school diploma or its equivalent,Retired,Ontario,"Low family Income: below $60,000"
2,1,4,1,46,5,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Manitoba,"High family Income: above $10,000"
1,1,7,6,12,4,male,Married,"University certificate, diploma or degree above the bach. . .",Retired,Nova Scotia,"Middle family Income: $60,000 - $10,000"
2,3,5,6,35,3,female,Widowed,University certificate or diploma below the bachelor’s level,Retired,Ontario,"Low family Income: below $60,000"
1,6,6,1,24,4,male,"Single, never married","Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Quebec,"Middle family Income: $60,000 - $10,000"
2,1,6,6,47,4,female,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Retired,Saskatchewan,"Middle family Income: $60,000 - $10,000"
1,5,3,1,48,4,male,Divorced,Trade certificate or diploma,Working at a paid job or self-employed,Alberta,"Middle family Income: $60,000 - $10,000"
1,2,6,1,47,4,male,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Saskatchewan,"Middle family Income: $60,000 - $10,000"
1,6,4,1,35,3,male,"Single, never married","College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Ontario,"Low family Income: below $60,000"
2,1,6,4,48,6,female,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Household work,Alberta,"High family Income: above $10,000"
2,1,4,1,11,3,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Prince Edward Island,"Low family Income: below $60,000"
1,1,6,1,35,6,male,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
2,1,2,1,24,2,female,Married,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Quebec,"Low family Income: below $60,000"
2,1,4,6,24,5,female,Married,"College, CEGEP or other non-university certificate or di. . .",Retired,Quebec,"High family Income: above $10,000"
2,6,2,3,46,6,female,"Single, never married",High school diploma or high school equivalency certificate,Going to school,Manitoba,"High family Income: above $10,000"
2,1,5,5,59,6,female,Married,University certificate or diploma below the bachelor’s level,Household work,British Columbia,"High family Income: above $10,000"
1,4,6,1,24,3,male,Separated,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Quebec,"Low family Income: below $60,000"
1,2,4,3,48,4,male,Living common-law,"College, CEGEP or other non-university certificate or di. . .",Going to school,Alberta,"Middle family Income: $60,000 - $10,000"
2,6,4,1,46,3,female,"Single, never married","College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Manitoba,"Low family Income: below $60,000"
1,6,4,1,24,4,male,"Single, never married","College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Quebec,"Middle family Income: $60,000 - $10,000"
2,5,4,3,35,1,female,Divorced,"College, CEGEP or other non-university certificate or di. . .",Going to school,Ontario,"Low family Income: below $60,000"
2,1,4,1,46,4,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Manitoba,"Middle family Income: $60,000 - $10,000"
1,1,1,6,35,4,male,Married,Less than high school diploma or its equivalent,Retired,Ontario,"Middle family Income: $60,000 - $10,000"
1,1,1,1,35,6,male,Married,Less than high school diploma or its equivalent,Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
2,5,7,1,24,5,female,Divorced,"University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,Quebec,"High family Income: above $10,000"
1,1,2,6,35,5,male,Married,High school diploma or high school equivalency certificate,Retired,Ontario,"High family Income: above $10,000"
1,1,3,6,35,3,male,Married,Trade certificate or diploma,Retired,Ontario,"Low family Income: below $60,000"
2,5,4,1,24,2,female,Divorced,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Quebec,"Low family Income: below $60,000"
2,6,1,1,46,6,female,"Single, never married",Less than high school diploma or its equivalent,Working at a paid job or self-employed,Manitoba,"High family Income: above $10,000"
1,6,2,3,48,3,male,"Single, never married",High school diploma or high school equivalency certificate,Going to school,Alberta,"Low family Income: below $60,000"
1,1,7,6,48,3,male,Married,"University certificate, diploma or degree above the bach. . .",Retired,Alberta,"Low family Income: below $60,000"
2,1,1,6,35,2,female,Married,Less than high school diploma or its equivalent,Retired,Ontario,"Low family Income: below $60,000"
1,1,7,1,59,6,male,Married,"University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,British Columbia,"High family Income: above $10,000"
1,1,2,3,47,3,male,Married,High school diploma or high school equivalency certificate,Going to school,Saskatchewan,"Low family Income: below $60,000"
2,1,1,6,12,2,female,Married,Less than high school diploma or its equivalent,Retired,Nova Scotia,"Low family Income: below $60,000"
1,5,1,6,35,1,male,Divorced,Less than high school diploma or its equivalent,Retired,Ontario,"Low family Income: below $60,000"
2,1,4,1,46,4,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Manitoba,"Middle family Income: $60,000 - $10,000"
1,3,1,6,35,3,male,Widowed,Less than high school diploma or its equivalent,Retired,Ontario,"Low family Income: below $60,000"
2,3,4,6,35,1,female,Widowed,"College, CEGEP or other non-university certificate or di. . .",Retired,Ontario,"Low family Income: below $60,000"
2,6,4,1,59,5,female,"Single, never married","College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,British Columbia,"High family Income: above $10,000"
1,1,2,1,48,4,male,Married,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Alberta,"Middle family Income: $60,000 - $10,000"
2,5,2,6,35,1,female,Divorced,High school diploma or high school equivalency certificate,Retired,Ontario,"Low family Income: below $60,000"
2,1,6,1,59,5,female,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,British Columbia,"High family Income: above $10,000"
2,1,4,1,24,6,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Quebec,"High family Income: above $10,000"
2,5,4,6,46,1,female,Divorced,"College, CEGEP or other non-university certificate or di. . .",Retired,Manitoba,"Low family Income: below $60,000"
2,1,4,1,35,6,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
1,6,2,1,46,5,male,"Single, never married",High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Manitoba,"High family Income: above $10,000"
2,1,2,6,59,2,female,Married,High school diploma or high school equivalency certificate,Retired,British Columbia,"Low family Income: below $60,000"
1,1,2,6,24,4,male,Married,High school diploma or high school equivalency certificate,Retired,Quebec,"Middle family Income: $60,000 - $10,000"
2,1,6,1,35,4,female,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Ontario,"Middle family Income: $60,000 - $10,000"
2,6,1,3,35,1,female,"Single, never married",Less than high school diploma or its equivalent,Going to school,Ontario,"Low family Income: below $60,000"
2,2,4,1,13,6,female,Living common-law,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,New Brunswick,"High family Income: above $10,000"
2,1,5,3,59,4,female,Married,University certificate or diploma below the bachelor’s level,Going to school,British Columbia,"Middle family Income: $60,000 - $10,000"
2,1,4,6,35,3,female,Married,"College, CEGEP or other non-university certificate or di. . .",Retired,Ontario,"Low family Income: below $60,000"
2,1,2,6,47,3,female,Married,High school diploma or high school equivalency certificate,Retired,Saskatchewan,"Low family Income: below $60,000"
1,1,3,1,35,6,male,Married,Trade certificate or diploma,Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
2,3,1,6,24,1,female,Widowed,Less than high school diploma or its equivalent,Retired,Quebec,"Low family Income: below $60,000"
1,5,1,1,48,1,male,Divorced,Less than high school diploma or its equivalent,Working at a paid job or self-employed,Alberta,"Low family Income: below $60,000"
2,6,6,1,24,3,female,"Single, never married","Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Quebec,"Low family Income: below $60,000"
2,5,6,1,47,2,female,Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Saskatchewan,"Low family Income: below $60,000"
1,1,2,1,35,1,male,Married,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Ontario,"Low family Income: below $60,000"
1,4,6,1,59,4,male,Separated,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,British Columbia,"Middle family Income: $60,000 - $10,000"
1,6,7,1,24,3,male,"Single, never married","University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,Quebec,"Low family Income: below $60,000"
1,5,1,6,35,2,male,Divorced,Less than high school diploma or its equivalent,Retired,Ontario,"Low family Income: below $60,000"
2,4,1,1,35,1,female,Separated,Less than high school diploma or its equivalent,Working at a paid job or self-employed,Ontario,"Low family Income: below $60,000"
1,6,1,1,10,6,male,"Single, never married",Less than high school diploma or its equivalent,Working at a paid job or self-employed,Newfoundland and Labroador,"High family Income: above $10,000"
2,5,3,6,35,2,female,Divorced,Trade certificate or diploma,Retired,Ontario,"Low family Income: below $60,000"
1,1,2,1,35,5,male,Married,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
2,1,6,6,59,6,female,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Retired,British Columbia,"High family Income: above $10,000"
2,1,4,1,24,4,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Quebec,"Middle family Income: $60,000 - $10,000"
2,1,7,1,24,2,female,Married,"University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,Quebec,"Low family Income: below $60,000"
2,1,7,1,59,6,female,Married,"University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,British Columbia,"High family Income: above $10,000"
2,1,6,1,35,2,female,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Ontario,"Low family Income: below $60,000"
2,5,2,1,13,2,female,Divorced,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,New Brunswick,"Low family Income: below $60,000"
2,5,2,1,24,4,female,Divorced,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Quebec,"Middle family Income: $60,000 - $10,000"
1,1,6,6,10,3,male,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Retired,Newfoundland and Labroador,"Low family Income: below $60,000"
1,1,3,1,35,4,male,Married,Trade certificate or diploma,Working at a paid job or self-employed,Ontario,"Middle family Income: $60,000 - $10,000"
2,5,6,6,24,3,female,Divorced,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Retired,Quebec,"Low family Income: below $60,000"
2,2,1,6,24,3,female,Living common-law,Less than high school diploma or its equivalent,Retired,Quebec,"Low family Income: below $60,000"
2,1,6,1,12,6,female,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,Nova Scotia,"High family Income: above $10,000"
1,2,4,2,13,6,male,Living common-law,"College, CEGEP or other non-university certificate or di. . .",Looking for paid work,New Brunswick,"High family Income: above $10,000"
2,2,2,1,47,6,female,Living common-law,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Saskatchewan,"High family Income: above $10,000"
1,1,2,1,10,4,male,Married,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Newfoundland and Labroador,"Middle family Income: $60,000 - $10,000"
1,1,2,1,35,5,male,Married,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
2,1,2,1,24,3,female,Married,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Quebec,"Low family Income: below $60,000"
2,1,4,1,13,6,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,New Brunswick,"High family Income: above $10,000"
2,1,6,1,59,6,female,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,British Columbia,"High family Income: above $10,000"
2,1,4,1,46,1,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Manitoba,"Low family Income: below $60,000"
2,1,4,1,48,3,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Alberta,"Low family Income: below $60,000"
2,1,7,1,59,5,female,Married,"University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,British Columbia,"High family Income: above $10,000"
1,2,4,1,24,6,male,Living common-law,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Quebec,"High family Income: above $10,000"
2,6,1,3,12,4,female,"Single, never married",Less than high school diploma or its equivalent,Going to school,Nova Scotia,"Middle family Income: $60,000 - $10,000"
2,1,4,1,59,6,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,British Columbia,"High family Income: above $10,000"
1,1,6,1,59,3,male,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,British Columbia,"Low family Income: below $60,000"
1,1,2,1,35,5,male,Married,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
